1	1	1	2022-01-20 14:22:20.560
2	2	2	2022-01-20 14:47:16.480
3	3	2	2022-01-20 14:51:15.537
4	4	2	2022-01-20 14:52:33.487
5	5	1	2022-01-20 14:53:50.810
6	6	1	2022-01-20 14:52:52.780
7	7	1	2022-01-20 14:53:20.540
8	8	2	2022-01-20 14:53:27.760
9	9	1	2022-01-20 14:54:35.280
10	10	1	2022-01-20 14:58:56.890
11	11	1	2022-01-20 15:02:39.380
12	12	2	2022-01-20 15:03:29.537
13	13	2	2022-01-20 15:04:09.727
14	14	2	2022-01-20 15:04:40.767
15	15	1	2022-01-20 15:06:54.210
16	16	1	2022-01-20 15:09:08.667
17	17	2	2022-01-20 15:11:58.707
18	18	1	2022-01-20 15:14:38.813
19	19	1	2022-01-20 15:16:04.340
20	20	2	2022-01-20 15:16:43.707
21	21	1	2022-01-20 15:22:23.007
22	22	1	2022-01-20 15:22:44.510
23	23	1	2022-01-20 15:27:03.483
24	24	1	2022-01-20 15:32:24.773
25	25	1	2022-01-20 15:33:12.750
26	26	1	2022-01-20 15:35:45.843
27	27	1	2022-01-20 15:37:45.660
28	28	2	2022-01-20 16:02:42.027
29	29	2	2022-01-20 17:26:40.203
30	30	2	2022-01-21 07:24:05.040
31	31	2	2022-01-21 07:26:39.647
32	32	1	2022-01-21 07:47:43.017
33	33	1	2022-01-21 07:48:52.557
34	34	3	2022-01-21 08:29:23.270
35	35	3	2022-01-21 10:40:55.087
36	36	3	2022-01-21 10:44:35.077
37	37	1	2022-01-21 10:47:29.523
38	38	3	2022-01-21 10:48:49.197
39	39	3	2022-01-21 11:01:23.813
40	40	3	2022-01-21 10:58:10.727
41	41	3	2022-01-21 11:24:15.017
42	42	2	2022-01-21 11:32:56.230
43	43	3	2022-01-21 12:33:14.343
44	44	2	2022-01-21 12:33:21.450
45	45	1	2022-01-21 12:33:29.340
46	46	2	2022-01-21 12:33:38.433
47	47	3	2022-01-21 12:36:18.347
48	48	2	2022-01-21 12:46:25.650
49	49	1	2022-01-21 12:46:37.137
50	50	1	2022-01-21 12:48:33.880
51	51	2	2022-01-21 12:48:44.377
52	52	3	2022-01-21 12:48:56.907
53	53	3	2022-01-21 12:39:27.723
54	54	2	2022-01-21 13:01:32.977
55	55	1	2022-01-21 13:02:28.920
56	56	2	2022-01-21 13:02:33.287
57	57	2	2022-01-21 14:39:05.973
58	58	4	2022-01-21 15:33:25.560
59	59	4	2022-01-21 15:41:38.250
60	60	2	2022-01-24 07:10:44.770
61	61	1	2022-01-24 10:19:10.313
62	62	2	2022-01-24 10:19:21.733
63	63	3	2022-01-24 10:19:28.050
64	64	4	2022-01-24 10:19:33.773
65	65	3	2022-01-24 10:19:39.783
